nameWithOwner,url,stargazers/totalCount,watchers/totalCount,forks/totalCount,releases/totalCount,createdAt,primaryLanguage/name,totalLOC
gionanide/Speech_Signal_Processing_and_Classification,https://github.com/gionanide/Speech_Signal_Processing_and_Classification,111,11,37,0,2018-03-16T10:31:49Z,Python,3659
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,16772,931,3502,5,2012-06-26T09:52:15Z,Python,80958
jingyang2017/Face-and-Image-super-resolution,https://github.com/jingyang2017/Face-and-Image-super-resolution,135,12,34,0,2018-09-22T13:57:04Z,Python,668
twaddington/android-asset-resizer,https://github.com/twaddington/android-asset-resizer,258,10,19,0,2013-04-23T07:29:05Z,Python,156
corpnewt/Lilu-and-Friends,https://github.com/corpnewt/Lilu-and-Friends,168,14,23,0,2017-10-23T03:25:54Z,Python,2792
CompVis/metric-learning-divide-and-conquer,https://github.com/CompVis/metric-learning-divide-and-conquer,207,20,25,0,2019-03-03T00:05:50Z,Python,2032
offapi/rbac-23andme-oauth2,https://github.com/offapi/rbac-23andme-oauth2,175,27,26,0,2015-07-20T05:08:07Z,Python,113
micahflee/onionshare,https://github.com/micahflee/onionshare,3810,178,422,19,2014-05-20T21:08:34Z,Python,14666
MicrocontrollersAndMore/Raspberry_Pi_2_and_OpenCV_3_Tutorial_Part_1,https://github.com/MicrocontrollersAndMore/Raspberry_Pi_2_and_OpenCV_3_Tutorial_Part_1,143,40,98,0,2015-09-24T01:29:43Z,Python,442
openshift/openshift-ansible,https://github.com/openshift/openshift-ansible,1886,158,2143,0,2014-09-16T17:07:51Z,Python,1454
hehefan/Unsupervised-Person-Re-identification-Clustering-and-Fine-tuning,https://github.com/hehefan/Unsupervised-Person-Re-identification-Clustering-and-Fine-tuning,189,15,78,0,2017-06-20T15:47:10Z,Python,626
open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,8908,286,2769,0,2018-08-22T07:06:06Z,Python,54294
ai-med/squeeze_and_excitation,https://github.com/ai-med/squeeze_and_excitation,117,3,22,1,2018-10-08T08:50:10Z,Python,650
muvatech/Shopping-Cart-Using-Django-2.0-and-Python-3.6,https://github.com/muvatech/Shopping-Cart-Using-Django-2.0-and-Python-3.6,114,16,94,0,2018-01-08T06:29:48Z,Python,525
crossbario/autobahn-python,https://github.com/crossbario/autobahn-python,2152,105,585,0,2011-07-27T15:22:13Z,Python,61787
RobSpectre/Twilio-Hackpack-for-Heroku-and-Flask,https://github.com/RobSpectre/Twilio-Hackpack-for-Heroku-and-Flask,102,10,43,1,2012-03-23T22:44:42Z,Python,1250
RasaHQ/rasa,https://github.com/RasaHQ/rasa,8079,316,2513,22,2016-10-14T12:27:49Z,Python,-1
isocpp/CppCoreGuidelines,https://github.com/isocpp/CppCoreGuidelines,26709,2038,3455,4,2015-08-19T20:22:52Z,Python,6720
ncornette/gimp-android-xdpi,https://github.com/ncornette/gimp-android-xdpi,148,14,17,0,2012-04-20T14:37:21Z,Python,129
jupyter/jupyter,https://github.com/jupyter/jupyter,9740,631,2270,0,2015-06-04T21:05:00Z,Python,268
pytorch/text,https://github.com/pytorch/text,2217,163,491,7,2016-12-12T00:56:03Z,Python,9603
LegoStormtroopr/django-spaghetti-and-meatballs,https://github.com/LegoStormtroopr/django-spaghetti-and-meatballs,161,12,17,6,2015-08-03T22:31:37Z,Python,747
Areizen/Android-Malware-Sandbox,https://github.com/Areizen/Android-Malware-Sandbox,128,11,18,0,2019-08-01T13:48:06Z,Python,5060
fabric/fabric,https://github.com/fabric/fabric,12152,515,1629,0,2009-05-01T01:14:24Z,Python,5932
Uberi/speech_recognition,https://github.com/Uberi/speech_recognition,4630,271,1573,23,2014-04-23T04:53:54Z,Python,2336
wepe/MachineLearning,https://github.com/wepe/MachineLearning,3706,404,2682,0,2014-12-05T14:53:17Z,Python,3334
ray-project/ray,https://github.com/ray-project/ray,10954,377,1578,31,2016-10-25T19:38:30Z,Python,128744
google-research/bert,https://github.com/google-research/bert,22219,924,5910,0,2018-10-25T22:57:34Z,Python,5995
joaomatosf/jexboss,https://github.com/joaomatosf/jexboss,1439,98,449,0,2014-11-30T16:56:15Z,Python,3271
ajenti/ajenti,https://github.com/ajenti/ajenti,5949,275,691,16,2010-03-03T08:04:15Z,Python,6480
antevis/CarND-Project5-Vehicle_Detection_and_Tracking,https://github.com/antevis/CarND-Project5-Vehicle_Detection_and_Tracking,110,11,70,0,2017-05-14T01:01:38Z,Python,1885
vishnubob/wait-for-it,https://github.com/vishnubob/wait-for-it,4782,81,1242,0,2016-02-02T17:06:22Z,Python,218
beetbox/beets,https://github.com/beetbox/beets,9271,438,1494,31,2010-08-09T23:17:20Z,Python,56773
openai/gym,https://github.com/openai/gym,20135,984,5309,5,2016-04-27T14:59:16Z,Python,16144
statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,4905,264,1762,12,2011-06-12T17:04:50Z,Python,-1
machrisaa/tensorflow-vgg,https://github.com/machrisaa/tensorflow-vgg,1861,69,921,0,2016-03-16T22:17:14Z,Python,597
tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,9759,458,2461,72,2017-06-15T16:57:39Z,Python,150003
Dobiasd/programming-language-subreddits-and-their-choice-of-words,https://github.com/Dobiasd/programming-language-subreddits-and-their-choice-of-words,744,28,23,0,2014-08-19T13:16:35Z,Python,873
pallets/jinja,https://github.com/pallets/jinja,6953,252,1255,6,2010-10-17T13:41:17Z,Python,19842
Gallopsled/pwntools,https://github.com/Gallopsled/pwntools,6374,290,1071,37,2013-04-29T14:43:03Z,Python,148321
powerline/powerline,https://github.com/powerline/powerline,11398,287,836,18,2012-06-12T12:48:40Z,Python,30259
pandas-dev/pandas,https://github.com/pandas-dev/pandas,24186,1040,9455,58,2010-08-24T01:37:33Z,Python,-1
Ekultek/WhatWaf,https://github.com/Ekultek/WhatWaf,1459,77,277,5,2017-12-15T17:47:45Z,Python,23612
matteocontrini/sms-wp-to-android,https://github.com/matteocontrini/sms-wp-to-android,114,5,13,0,2015-09-03T09:54:46Z,Python,1711
Netflix/security_monkey,https://github.com/Netflix/security_monkey,3950,553,703,18,2014-06-27T21:49:56Z,Python,107576
keon/algorithms,https://github.com/keon/algorithms,17053,654,3196,0,2016-11-17T22:32:08Z,Python,84974
ethereum/casper,https://github.com/ethereum/casper,668,155,161,2,2017-04-16T18:58:44Z,Python,825
worldveil/dejavu,https://github.com/worldveil/dejavu,4887,274,1048,0,2013-11-19T02:50:35Z,Python,1878
snapcore/snapcraft,https://github.com/snapcore/snapcraft,866,44,323,53,2015-10-29T17:23:15Z,Python,118743
jpetazzo/container.training,https://github.com/jpetazzo/container.training,1814,98,932,0,2015-06-07T04:03:19Z,Python,118743
docker/compose,https://github.com/docker/compose,19141,680,2914,123,2013-12-09T11:40:58Z,Python,30671
google/spatial-media,https://github.com/google/spatial-media,1053,185,260,2,2015-02-11T23:19:50Z,Python,1983
tensorflow/magenta,https://github.com/tensorflow/magenta,14825,829,2935,41,2016-05-05T20:10:40Z,Python,94686
explosion/spaCy,https://github.com/explosion/spaCy,16097,565,2794,65,2014-07-03T15:15:40Z,Python,-1
sweetsoftware/Ares,https://github.com/sweetsoftware/Ares,943,109,366,0,2015-10-18T12:26:27Z,Python,911
LCorleone/A-Simple-Chinese-License-Plate-Generator-and-Recognition-Framework,https://github.com/LCorleone/A-Simple-Chinese-License-Plate-Generator-and-Recognition-Framework,104,4,43,0,2018-01-20T02:35:40Z,Python,1082
python-poetry/poetry,https://github.com/python-poetry/poetry,9813,123,684,79,2018-02-28T15:23:47Z,Python,68344
machinelearningmindset/TensorFlow-Course,https://github.com/machinelearningmindset/TensorFlow-Course,14207,814,2790,1,2018-10-02T18:10:12Z,Python,4192
boppreh/keyboard,https://github.com/boppreh/keyboard,1796,61,209,23,2013-05-07T22:55:07Z,Python,6098
viewfinderco/viewfinder,https://github.com/viewfinderco/viewfinder,1782,180,536,0,2014-04-28T17:01:53Z,Python,44738
laramies/theHarvester,https://github.com/laramies/theHarvester,3581,224,933,7,2011-01-01T20:40:15Z,Python,4035
lmcinnes/umap,https://github.com/lmcinnes/umap,3748,121,366,16,2017-07-02T01:11:17Z,Python,16513
lazyprogrammer/machine_learning_examples,https://github.com/lazyprogrammer/machine_learning_examples,4459,542,4203,0,2014-07-31T23:40:45Z,Python,51831
kmmbvnr/django-jenkins,https://github.com/kmmbvnr/django-jenkins,919,25,230,0,2010-07-02T08:55:14Z,Python,1077
